Nr. crt.,Județ,Număr de cazuri confirmate(total),Număr de cazuri nou confirmate,Incidența  înregistrată la 14 zile
1.,Alba,37.425,377,"5,86"
2.,Arad,47.292,406,"5,79"
3.,Argeș,49.839,529,"3,88"
4.,Bacău,47.712,359,"5,82"
5.,Bihor,59.505,708,"9,12"
6.,Bistrița-Năsăud,22.554,229,"7,31"
7.,Botoșani,26.751,224,"5,65"
8.,Brașov,76.358,566,"9,24"
9.,Brăila,24.080,84,"1,90"
10.,Buzău,26.571,143,"3,20"
11.,Caraș-Severin,20.934,117,"3,43"
12.,Călărași,18.793,133,"2,13"
13.,Cluj,103.532,893,"14,19"
14.,Constanța,78.383,1164,"7,60"
15.,Covasna,14.055,17,"2,52"
16.,Dâmbovița,39.257,199,"3,27"
17.,Dolj,48.408,307,"3,01"
18.,Galați,47.724,377,"3,66"
19.,Giurgiu,20.984,122,"2,54"
20.,Gorj,16.200,87,"1,77"
21.,Harghita,16.765,123,"5,38"
22.,Hunedoara,40.264,484,"6,02"
23.,Ialomița,20.609,62,"2,50"
24.,Iași,79.786,742,"4,76"
25.,Ilfov,84.085,377,"10,40"
26.,Maramureș,37.797,239,"8,53"
27.,Mehedinți,16.407,42,"1,28"
28.,Mureș,44.013,347,"4,14"
29.,Neamț,36.061,314,"5,71"
30.,Olt,27.335,102,"1,65"
31.,Prahova,68.193,347,"3,64"
32.,Satu Mare,24.937,273,"7,51"
33.,Sălaj,20.216,181,"6,43"
34.,Sibiu,48.301,404,"7,33"
35.,Suceava,48.016,548,"8,84"
36.,Teleorman,26.055,57,"1,97"
37.,Timiș,101.466,514,"12,31"
38.,Tulcea,15.421,199,"4,74"
39.,Vaslui,28.684,129,"2,31"
40.,Vâlcea,28.529,119,"3,43"
41.,Vrancea,19.541,90,"2,97"
42.,Mun. București,340.948,2502,"9,50"
43.,Din străinătate**,3.743,16,
44.,Cazuri noi nealocate pe județe," 
 
13.600*",-1.164,
 TOTAL,2.017.129,14.088,,
